,noc,Gold,Silver,Bronze,Medals Won,Medals Not Won,# Observations,Gold Prob. (%),Silver Prob. (%),Bronze Prob. (%),Medal Prob. (%)
107,KGZ,0,0,1,1,13,14,0.0,0.0,7.14,7.14
108,KIR,0,0,0,0,0,0,0.0,0.0,0.0,0.0
109,KOR,11,16,16,43,76,119,9.24,13.45,13.45,36.13
110,KOS,1,0,0,1,1,2,50.0,0.0,0.0,50.0
111,KSA,0,0,0,0,3,3,0.0,0.0,0.0,0.0
112,KUW,0,0,0,0,24,24,0.0,0.0,0.0,0.0
113,LAO,0,0,0,0,1,1,0.0,0.0,0.0,0.0
114,LAT,0,0,1,1,9,10,0.0,0.0,10.0,10.0
115,LBA,0,0,0,0,7,7,0.0,0.0,0.0,0.0
116,LBR,0,0,0,0,0,0,0.0,0.0,0.0,0.0
117,LCA,0,0,0,0,0,0,0.0,0.0,0.0,0.0
118,LES,0,0,0,0,0,0,0.0,0.0,0.0,0.0
119,LIB,0,0,0,0,18,18,0.0,0.0,0.0,0.0
120,LIE,0,0,0,0,16,16,0.0,0.0,0.0,0.0
121,LTU,0,0,0,0,8,8,0.0,0.0,0.0,0.0
122,LUX,0,0,0,0,4,4,0.0,0.0,0.0,0.0
123,MAD,0,0,0,0,13,13,0.0,0.0,0.0,0.0
124,MAL,0,0,0,0,0,0,0.0,0.0,0.0,0.0
125,MAR,0,0,0,0,29,29,0.0,0.0,0.0,0.0
126,MAS,0,0,0,0,1,1,0.0,0.0,0.0,0.0
127,MAW,0,0,0,0,0,0,0.0,0.0,0.0,0.0
128,MDA,0,0,0,0,11,11,0.0,0.0,0.0,0.0
129,MDV,0,0,0,0,0,0,0.0,0.0,0.0,0.0
130,MEX,0,0,0,0,30,30,0.0,0.0,0.0,0.0
131,MGL,1,3,4,8,78,86,1.16,3.49,4.65,9.3
132,MHL,0,0,0,0,0,0,0.0,0.0,0.0,0.0
133,MKD,0,0,0,0,1,1,0.0,0.0,0.0,0.0
134,MLI,0,0,0,0,14,14,0.0,0.0,0.0,0.0
135,MLT,0,0,0,0,8,8,0.0,0.0,0.0,0.0
136,MNE,0,0,0,0,3,3,0.0,0.0,0.0,0.0
137,MON,0,0,0,0,8,8,0.0,0.0,0.0,0.0
138,MOZ,0,0,0,0,3,3,0.0,0.0,0.0,0.0
139,MRI,0,0,0,0,6,6,0.0,0.0,0.0,0.0
140,MTN,0,0,0,0,0,0,0.0,0.0,0.0,0.0
141,MYA,0,0,0,0,3,3,0.0,0.0,0.0,0.0
142,NAM,0,0,0,0,0,0,0.0,0.0,0.0,0.0
143,NBO,0,0,0,0,0,0,0.0,0.0,0.0,0.0
144,NCA,0,0,0,0,5,5,0.0,0.0,0.0,0.0
145,NED,4,2,17,23,61,84,4.76,2.38,20.24,27.38
146,NEP,0,0,0,0,4,4,0.0,0.0,0.0,0.0
147,NFL,0,0,0,0,0,0,0.0,0.0,0.0,0.0
148,NGR,0,0,0,0,11,11,0.0,0.0,0.0,0.0
149,NIG,0,0,0,0,3,3,0.0,0.0,0.0,0.0
150,NOR,0,0,0,0,4,4,0.0,0.0,0.0,0.0
151,NRU,0,0,0,0,2,2,0.0,0.0,0.0,0.0
152,NZL,0,0,0,0,19,19,0.0,0.0,0.0,0.0
153,OMA,0,0,0,0,0,0,0.0,0.0,0.0,0.0
154,PAK,0,0,0,0,1,1,0.0,0.0,0.0,0.0
155,PAN,0,0,0,0,4,4,0.0,0.0,0.0,0.0
156,PAR,0,0,0,0,5,5,0.0,0.0,0.0,0.0
157,PER,0,0,0,0,5,5,0.0,0.0,0.0,0.0
158,PHI,0,0,0,0,15,15,0.0,0.0,0.0,0.0
159,PLE,0,0,0,0,2,2,0.0,0.0,0.0,0.0
160,PLW,0,0,0,0,1,1,0.0,0.0,0.0,0.0
161,PNG,0,0,0,0,2,2,0.0,0.0,0.0,0.0
162,POL,3,3,2,8,67,75,4.0,4.0,2.67,10.67
163,POR,0,0,2,2,51,53,0.0,0.0,3.77,3.77
164,PRK,2,2,4,8,27,35,5.71,5.71,11.43,22.86
165,PUR,0,0,0,0,36,36,0.0,0.0,0.0,0.0
166,QAT,0,0,0,0,1,1,0.0,0.0,0.0,0.0
167,RHO,0,0,0,0,0,0,0.0,0.0,0.0,0.0
168,ROT,0,0,0,0,2,2,0.0,0.0,0.0,0.0
169,ROU,1,2,3,6,39,45,2.22,4.44,6.67,13.33
170,RSA,0,0,0,0,8,8,0.0,0.0,0.0,0.0
171,RUS,5,4,7,16,55,71,7.04,5.63,9.86,22.54
172,RWA,0,0,0,0,1,1,0.0,0.0,0.0,0.0
173,SAA,0,0,0,0,0,0,0.0,0.0,0.0,0.0
174,SAM,0,0,0,0,3,3,0.0,0.0,0.0,0.0
175,SCG,0,0,0,0,4,4,0.0,0.0,0.0,0.0
176,SEN,0,0,0,0,47,47,0.0,0.0,0.0,0.0
177,SEY,0,0,0,0,4,4,0.0,0.0,0.0,0.0
